7.748724178304837729e-01 3.418361772809710430e+01 -3.511968169893537883e-01
2.325525677782629863e+00 3.418327440534319805e+01 -3.212495105607169332e-01
3.877424963325519336e+00 3.418308040073939935e+01 -3.086774860109602336e-01
5.430645605007983434e+00 3.418295887538364752e+01 -3.021206557750701904e-01
6.985303474244673794e+00 3.418287931169783178e+01 -2.981805588517870698e-01
8.541558531845863556e+00 3.418284933907645495e+01 -2.949715341840472016e-01
1.009961972551588616e+01 3.418287004743304180e+01 -2.911688600267683391e-01
1.165975138498098040e+01 3.418291745867048093e+01 -2.866758491311754975e-01
1.322228130859437734e+01 3.418297794886998275e+01 -2.812475689819881053e-01
1.478761078609729829e+01 3.418299211774553470e+01 -2.740238734654018016e-01
1.635622686011144111e+01 3.418280465262277090e+01 -2.634778831686292455e-01
1.792871719549009413e+01 3.418221991402762683e+01 -2.482166354145322607e-01
1.950578800263434687e+01 3.418115179879325183e+01 -2.276143580675125122e-01
2.108828555027082174e+01 3.417969512939453125e+01 -2.016383750098092453e-01
2.267722190719638675e+01 3.417804718017578836e+01 -1.696130580135754018e-01
2.427380567355215746e+01 3.417644991193499493e+01 -1.312403609710080521e-01
2.587947860293856550e+01 3.417512893676757812e+01 -8.790889063051769703e-02
2.749595917991674909e+01 3.417431477137974838e+01 -4.098642298153469532e-02
2.912529440602579456e+01 3.417424828665597403e+01 8.380157606942315041e-03
3.076992126412132578e+01 3.417516381399972403e+01 5.911335349082947471e-02
3.243273957797450180e+01 3.417729513985770495e+01 1.100393874304635422e-01
3.411719826319559701e+01 3.418080084664481433e+01 1.597183751208441638e-01
3.582739727671206964e+01 3.418572344098772930e+01 2.067235729524067867e-01
3.756820791281415239e+01 3.419197354997907468e+01 2.502429857850074768e-01
3.934541445783434455e+01 3.419938387189593243e+01 2.902910665475896823e-01
4.116588059049336579e+01 3.420777947562081778e+01 3.275024161807128520e-01
4.303774427947769254e+01 3.421701267787388900e+01 3.628234692982265086e-01
4.497064524936658358e+01 3.422698211669921875e+01 3.972488088267190354e-01
4.697598930702133657e+01 3.423757008143834213e+01 4.315952573503767375e-01
4.906725386232896824e+01 3.424864360264369623e+01 4.663615397044590938e-01
5.126033872116335743e+01 3.426003864833287338e+01 5.017172438757760977e-01
5.357396550363055354e+01 3.427158846173968243e+01 5.377320093767983256e-01
5.603012760503264644e+01 3.428312083653041498e+01 5.748141493116106782e-01
5.865459013378784192e+01 3.429445157732282468e+01 6.138210254056113424e-01
6.147743526999346386e+01 3.430538994925363028e+01 6.558245675904410543e-01
6.453364237568013095e+01 3.431591251918248275e+01 7.037728003093174367e-01
6.786368315172872201e+01 3.432602419172014407e+01 7.618160034929003510e-01
7.151409916570570147e+01 3.433554186139788555e+01 8.319233783653804393e-01
7.553801094947490924e+01 3.434369495936802963e+01 9.050015423979078655e-01
7.999548320973036653e+01 3.434904261997768060e+01 9.582076966762543835e-01
