0 0.0909091
20.202 0.0890725
40.404 0.087236
60.6061 0.0853994
80.8081 0.174472
90.9091 0.264463
101.01 0.354454
111.111 0.626263
121.212 1.07989
131.313 1.16988
141.414 1.35078
151.515 1.89532
161.616 2.07622
171.717 2.71166
181.818 2.89256
191.919 3.07346
202.02 3.34527
212.121 3.52617
222.222 3.70707
232.323 3.97888
242.424 4.43251
252.525 4.61341
262.626 4.79431
272.727 5.06612
282.828 5.51974
292.929 5.70064
303.03 5.88154
323.232 6.06152
333.333 6.33333
343.434 6.51423
353.535 6.87695
363.636 7.05785
383.838 7.23783
393.939 7.69146
404.04 8.05418
414.141 8.23508
434.343 8.41506
444.444 8.59596
454.545 8.86777
464.646 9.04867
474.747 9.13866
484.848 9.31956
505.051 9.59045
515.152 9.86226
525.253 9.95225
545.455 10.2231
565.657 10.4031
575.758 10.584
585.859 10.7649
606.061 10.9449
636.364 11.0331
676.768 11.0294
707.071 10.9357
737.374 10.933
757.576 11.022
787.879 11.1102
808.081 11.1084
828.283 11.1065
848.485 11.1047
888.889 11.101
919.192 11.0983
949.495 11.0046
969.697 10.9118
989.899 11.0009
1010.1 10.9991
