2.500000000000000000e-01 6.544984694978735152e-05 2.472982421933350780e-08 9.837189004051979935e-02
5.000000000000000000e-01 5.235987755982988122e-04 1.978385937546680624e-07 2.553081806471996784e-01
7.500000000000000000e-01 1.767145867644258437e-03 6.677052539220046543e-07 6.221140493886623268e-01
1.000000000000000000e+00 4.188790204786390498e-03 1.582708750037344499e-06 1.423268544085055876e+00
1.250000000000000000e+00 8.181230868723418995e-03 3.091228027416687975e-06 3.057139498083875750e+00
1.500000000000000000e+00 1.413716694115406750e-02 5.341642031376037234e-06 6.165314346854399830e+00
1.750000000000000000e+00 2.244929750377706174e-02 8.482329707231391994e-06 1.167365237122543675e+01
2.000000000000000000e+00 3.351032163829112398e-02 1.266167000029875599e-05 2.075247271027448548e+01
2.250000000000000000e+00 4.771293842639497823e-02 1.802804185589412789e-05 3.463733818000003595e+01
2.500000000000000000e+00 6.544984694978735196e-02 2.472982421933350380e-05 5.427886172855702540e+01
2.750000000000000000e+00 8.711374629016697957e-02 3.291539603593290187e-05 7.985985487509371694e+01
3.000000000000000000e+00 1.130973355292325400e-01 4.273313625100829788e-05 1.103158371434164735e+02
3.250000000000000000e+00 1.437933137486828161e-01 5.433142380987571505e-05 1.430733600974085391e+02
3.500000000000000000e+00 1.795943800302164939e-01 6.785863765785113595e-05 1.742172891557847834e+02
3.750000000000000000e+00 2.208932334555323285e-01 8.346315674025059058e-05 1.991752129366494160e+02
4.000000000000000000e+00 2.680825731063289918e-01 1.012933600023900479e-04 2.137917251895755442e+02
4.250000000000000000e+00 3.215550980643052670e-01 1.214976263895855245e-04 2.154557341133410944e+02
4.500000000000000000e+00 3.817035074111598258e-01 1.442243348471530231e-04 2.038622368691477789e+02
4.750000000000000000e+00 4.489205002285914237e-01 1.696218643204085196e-04 1.811035972822452038e+02
5.000000000000000000e+00 5.235987755982988157e-01 1.978385937546680304e-04 1.510528528048626526e+02
5.250000000000000000e+00 6.061310326019806460e-01 2.290229020952475991e-04 1.182884524842023666e+02
5.500000000000000000e+00 6.969099703213358366e-01 2.633231682874632149e-04 8.696957179633571400e+01
5.750000000000000000e+00 7.963282878380627539e-01 3.008877712766307860e-04 6.003491177550133528e+01
6.000000000000000000e+00 9.047786842338603197e-01 3.418650900080663830e-04 3.890917164785342663e+01
6.250000000000000000e+00 1.022653858590427456e+00 3.864035034270860494e-04 2.367618128591499627e+01
6.500000000000000000e+00 1.150346509989462529e+00 4.346513904790057204e-04 1.352642072590588818e+01
6.750000000000000000e+00 1.288249337512664461e+00 4.867571301091413853e-04 7.255472324570106935e+00
7.000000000000000000e+00 1.436755040241731951e+00 5.428691012628090876e-04 3.653928555721263294e+00
7.250000000000000000e+00 1.596256317258363699e+00 6.031356828853248709e-04 1.727690623958025862e+00
7.500000000000000000e+00 1.767145867644258628e+00 6.677052539220047246e-04 7.669789850810946330e-01
7.750000000000000000e+00 1.949816390481114992e+00 7.367261933181644754e-04 3.196778282740619370e-01
